"id" "time" "response"
"1" 2981 -23 105.125862612781
"2" 2981 -29 105.337568077751
"3" 2981 0 92.6533351962919
"4" 2981 4 101.332571256985
"5" 2981 45 101.638270817009
"6" 2981 181 101.694614078637
"7" 2981 275 102.819412989318
"8" 2981 341 104.953027544171
"9" 2981 407 103.649595869965
"10" 2981 526 104.101428990549
"11" 2981 569 101.582482108686
"12" 2981 719 100.578056215259
"13" 2981 755 95.364933374854
"14" 2981 860 101.546682102958
"15" 2981 958 105.767681306656
"16" 2981 973 103.012657917396
"17" 2981 1237 97.8234560022689
"18" 2981 1254 96.6934025475586
"19" 2981 1505 99.185642791378
"20" 2981 2118 103.053318143588
"21" 2981 2152 91.7585873983639
"22" 2981 2621 100.895218557921
"23" 2981 2726 104.033309672846
"24" 2981 3285 98.5265367578169
"25" 2000 -35 98.7699529769919
"26" 2000 -56 99.2523625368488
"27" 2000 0 95.5669990128438
"28" 2000 79 96.3272431833886
"29" 2000 192 99.0629097173421
"30" 2000 293 88.2480166636545
"31" 2000 301 96.0460928921789
"32" 2000 363 90.9755308853605
"33" 2000 477 89.2092416454536
"34" 2000 901 70.1636022185845
"35" 2000 990 73.28045267577
"36" 2000 1062 76.4436449197237
"37" 2000 1211 68.9277456215578
"38" 2000 1243 65.4977400025602
"39" 2000 1266 63.1595304110049
"40" 2000 1302 68.6813389537118
"41" 2000 1321 67.9814227235828
"42" 2000 1371 60.8364167428509
"43" 2000 1514 61.8597851601197
"44" 2000 1588 48.4309620767778
"45" 2000 1812 64.1135771222876
"46" 2000 2112 53.1016804528491
"47" 2000 2303 63.3622273218599
"48" 2000 2386 60.2452410913123
"49" 2000 2435 50.7079693478209
"50" 1916 -35 69.272257758013
"51" 1916 0 60.6003577711879
"52" 1916 5 70.9383642247011
"53" 1916 200 91.3084291133531
"54" 1916 322 78.7584320304503
"55" 1916 693 102.278760946347
"56" 1916 733 93.3686372107017
"57" 1916 1089 104.504667982678
"58" 1916 1107 98.742620580969
"59" 1916 1352 92.8616075486802
"60" 1916 1396 93.4521113427707
"61" 1916 1936 65.2724479661814
"62" 1916 2198 47.2175538812913
"63" 1916 2398 32.2137163818729
"64" 1916 2780 -6.2166169302858
"65" 1916 2814 -12.8083773650056
"66" 1916 2990 -29.3990518963424
"67" 1916 3134 -31.7535824752936
"68" 1916 3229 -33.7936031466895
"69" 1916 3303 -42.9130679561416
"70" 1916 3309 -34.893425737083
"71" 1916 3328 -50.0041712888111
"72" 1916 3379 -51.3222589718682
"73" 1916 3444 -41.9100130701079
"74" 4019 -31 103.869704439366
"75" 4019 -58 100.542041011077
"76" 4019 -54 103.518422012113
"77" 4019 0 98.3320317011023
"78" 4019 366 82.505219163794
"79" 4019 378 79.1033201726863
"80" 4019 404 95.3706081414568
"81" 4019 437 86.8706248949566
"82" 4019 468 94.2756526741008
"83" 4019 577 84.9440548551376
"84" 4019 600 75.8676873123804
"85" 4019 978 72.7376406975955
"86" 4019 1050 72.1688267977872
"87" 4019 1157 64.5723904235041
"88" 4019 1222 67.5098283312964
"89" 4019 1266 50.9164941817891
"90" 4019 1304 63.1022145324176
"91" 4019 1361 63.1459482333464
"92" 4019 1451 69.1130955587975
"93" 4019 1473 60.8041243202799
"94" 4019 1482 58.0639201209039
"95" 4019 1582 65.3296123779526
"96" 4019 1610 58.8967187819747
"97" 4019 1610 57.9541259497746
"98" 4019 1630 67.1689802760783
"99" 4019 1655 57.7744941398644
"100" 4019 1697 52.0208500028775
"101" 4019 1718 58.491624752078
"102" 4019 1921 59.3247497157183
"103" 4019 2033 64.1134777164902
"104" 5952 -41 64.472932554212
"105" 5952 0 79.7374815370752
"106" 5952 8 69.8088127822054
"107" 5952 84 73.3089987601723
"108" 5952 102 79.8910657130226
"109" 5952 165 81.7574943263871
"110" 5952 179 83.529701700001
"111" 5952 269 90.5062583826592
"112" 5952 357 91.5254195814246
"113" 5952 404 89.7908855303986
"114" 5952 606 91.5269023819125
"115" 5952 704 97.37433107673
"116" 5952 1011 100.252903486986
"117" 5952 1529 79.737570409188
"118" 5952 1559 83.1973894938099
"119" 5952 1590 91.8048727784005
"120" 5952 1596 74.1924263612779
"121" 5952 1670 79.4860578442735
"122" 5952 2133 54.6574621944141
"123" 5952 2156 52.7633590829208
"124" 5952 2468 20.5328559091078
"125" 5952 2596 8.59009494411912
